Task: 1, Test name: Cross device elements at laptop size shows the filters, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows the banner image, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows the filter button, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows the reset button, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows a shoe with discount, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows a shoe without a discount, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows the search bar, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size expands the footer links, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size does not show the search expansion button, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows the grid options, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size does not show product options, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at laptop size shows menu categories, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows the filters, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows the banner image, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows the filter button, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows the reset button, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows a shoe with discount, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows a shoe without a discount, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows the search bar, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size expands the footer links, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size does not show the search expansion button, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size does not show the grid options, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size shows product options, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at tablet size does not show menu categories, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows the filters, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows the banner image, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows the filter button, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows the reset button, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows a shoe with discount, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows a shoe without a discount, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size hides the search bar, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows the search expansion button, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size collapses the footer links, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size does not show the grid options, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size shows product options, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 1, Test name: Cross device elements at mobile size does not show menu categories, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
Task: 3, Test name: Product details at laptop size shows product details, Browser: chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 3, Test name: Product details at tablet size shows product details, Browser: chrome, Viewport: 785 x 700, Device: Tablet, Status: Pass
Task: 3, Test name: Product details at mobile size shows product details, Browser: chrome, Viewport: 516 x 700, Device: Mobile, Status: Pass
